hexID,t.count,t.pos,t.neg,t.neu,i.count,i.pos,i.neg,i.neu,t.norm,i.norm,odds
143,1,0,0,0,1,0,0,0,0,0,0
144,5,2.41425,1.36375,1.223,1,0,0,0,0.2101,0,0
145,1,0,0,0,1,0,0,0,0,0,0
146,1,0.395307692307692,0.0367692307692308,0.567923076923077,1,0,0,0,0.358538461538461,0,0
147,1,0.165,0.553,0.282,1,0,0,0,-0.388,0,0
148,5,2.558,0.8705,1.57,1,0,0,0,0.3375,0,0
149,3,1.287,0.1485,0.5645,1,0,0,0,0.3795,0,0
150,8,4.398,1.365,2.238,30,17.1600833333333,3.5295,9.31075,0.379125,0.454352777777778,0.256292461672195
151,4,1.85,1.151,0.998,42,18.1816071428571,7.23529285714286,12.581580952381,0.17475,0.260626530612245,0.101751181040494
152,43,22.693,8.2785,12.02775,41,22.8995,4.4555,11.65,0.335220930232558,0.449853658536585,0.990982335858862
153,513,268.75169874374,90.7769328792123,147.463527533741,52,30.153980952381,6.67595119047619,14.1586571428571,0.346929368156974,0.451500572344322,8.91264404418612
154,121,62.9167136363636,21.9572810606061,35.1307893939394,202,107.155966666667,18.965725,63.8777511904762,0.338507707237666,0.436585354785479,0.587150819441353
155,1070,563.42123982684,193.647825757576,306.955435606061,4670,2512.38213093157,484.626949041237,1316.95011942641,0.345582629971275,0.434208818391934,0.224257780251736
156,2056,1080.07700499745,406.543952873597,555.412592953125,2834,1540.1507954305,312.661247847523,790.28788534151,0.327593896947401,0.433129692160541,0.701280035826333
157,2570,1368.63203073396,476.846823950392,708.708945501501,5624,3010.2061518759,620.037458621934,1608.8881762987,0.34699813493524,0.424994433366637,0.454663887349062
158,6086,3230.45145916583,1019.55580883283,1711.38615569153,5980,3116.56134667579,658.48158884049,1657.21813272561,0.363275657300854,0.411050126728311,1.03654351697955
159,8765,4853.17457588792,1207.80648378933,2532.44306989624,13231,6805.59338440726,1305.84149264347,3712.87613066101,0.41590052391313,0.415671671964613,0.713115565647419
160,14541,8276.38608552778,1604.9154334872,4430.67020847815,9057,4829.28002886533,877.268758048977,2733.84419826522,0.458804116088342,0.436348820891725,1.71379295382719
161,973,558.149824206349,104.67558452381,297.243448015873,402,216.393887301587,38.34965,126.280353968254,0.46605780029038,0.442896112690516,2.579323432683
162,1,0.616,0.135166666666667,0.249,1,0,0,0,0.480833333333333,0,0
163,4,2.40566666666667,0.588333333333333,1.006,22,11.0769166666667,4.05558333333333,5.86858333333333,0.454333333333333,0.319151515151515,0.217178366422666
164,12,6.2877,2.25996666666667,3.45641666666667,45,25.9344,5.39525,11.67255,0.335644444444444,0.456425555555556,0.242446326115121
165,1,0,0,0,19,9.40398095238095,2.16137619047619,5.43390476190476,0,0.381189724310777,0
166,1,0,0,0,2,0.888,0.567,0.544,0,0.1605,0
167,6,2.58133333333333,1.919,1.502,1,0,0,0,0.110388888888889,0,0
168,31,18.478,3.98285714285714,8.54414285714286,1,0,0,0,0.467585253456221,0,0
169,1,0,0,0,1,0,0,0,0,0,0
170,1,0.78,0.041,0.18,1,0,0,0,0.739,0,0
171,1,0.351,0.431,0.219,1,0,0,0,-0.08,0,0
172,1,0.351,0.431,0.219,1,0,0,0,-0.08,0,0
173,1,0,0,0,1,0,0,0,0,0,0
174,1,0,0,0,1,0,0,0,0,0,0
175,23,12.3963333333333,3.098,6.50466666666667,72,34.93375,8.9574,19.1111,0.404275362318841,0.360782638888889,0.354852637730943
176,273,149.615988888889,42.79005,77.6160166666667,2304,1264.28288850108,246.058955131674,635.748569480519,0.391303805453805,0.441937471080472,0.118340594695758
